項目,世界観,絶叫,待ち時間,家族向け,若者向け,映え,体験時間,入り口からの距離,音楽,キャラクター,明るさ,体験度,収容数,古参度
ベネツィアンゴンドラ,1,1,2,5,4,5,4,1,1,1,3,2,2,5
ソアリン,5,2,5,4,5,3,4,2,2,1,2,4,5,1
トイマ二,5,1,5,4,5,4,3,4,1,5,2,5,2,1
タートルトーク,4,1,3,5,3,1,5,4,1,4,2,5,5,2
海底二万マイル,4,1,2,3,3,1,2,3,1,1,1,3,1,5
タワテラ,5,5,4,1,5,2,1,4,1,3,1,1,3,3
センターオブジアース,3,5,4,1,5,1,2,3,2,1,1,1,1,5
シーライダー,4,2,3,4,2,1,3,4,2,4,4,1,4,5
マーメイドラグーン,5,1,2,5,2,5,5,5,5,4,2,4,5,5
レイジングスピリッツ,3,4,3,1,4,1,1,5,1,1,3,1,3,3
インディ・ジョーンズ,4,4,4,1,4,3,2,5,3,2,1,1,4,5
マジックランプシアター,4,1,2,5,2,4,4,5,4,5,2,3,5,5
